name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
tashanika,1,0,9,0,1,ta,ka,tas,ika
denetra,1,0,7,0,1,de,ra,den,tra
tomesha,1,0,7,0,1,to,ha,tom,sha
trellany,1,0,8,0,0,tr,ny,tre,any
cynthia,1,0,7,0,1,cy,ia,cyn,hia
crystal,1,0,7,0,0,cr,al,cry,tal
beverly,1,0,7,0,0,be,ly,bev,rly
robin,1,0,5,0,0,ro,in,rob,bin
sophia,1,0,6,0,1,so,ia,sop,hia
marquita,1,0,8,0,1,ma,ta,mar,ita
sylvia,1,0,6,0,1,sy,ia,syl,via
dorothy,1,0,7,0,0,do,hy,dor,thy
zakiyyah,1,0,8,0,0,za,ah,zak,yah
allissia,1,0,8,1,1,al,ia,all,sia
mahogany,1,0,8,0,0,ma,ny,mah,any
melonise,1,0,8,0,1,me,se,mel,ise
monique,1,0,7,0,1,mo,ue,mon,que
sherline,1,0,8,0,1,sh,ne,she,ine
veronica,1,0,8,0,1,ve,ca,ver,ica
brenda,1,0,6,0,1,br,da,bre,nda
delta,1,0,5,0,1,de,ta,del,lta
genesha,1,0,7,0,1,ge,ha,gen,sha
margaret,1,0,8,0,0,ma,et,mar,ret
stephanie,1,0,9,0,1,st,ie,ste,nie
pachadgin,1,0,9,0,0,pa,in,pac,gin
shai,1,0,4,0,1,sh,ai,sha,hai
latonia,1,0,7,0,1,la,ia,lat,nia
ashley,1,0,6,1,0,as,ey,ash,ley
brian,1,0,5,0,0,br,an,bri,ian
carlas,1,0,6,0,0,ca,as,car,las
don,1,0,3,0,0,do,on,don,don
ethel,1,0,5,1,0,et,el,eth,hel
juanetta,1,0,8,0,1,ju,ta,jua,tta
leslie,1,0,6,0,1,le,ie,les,lie
paula,1,0,5,0,1,pa,la,pau,ula
radja,1,0,5,0,1,ra,ja,rad,dja
tonya,1,0,5,0,1,to,ya,ton,nya
jessica,1,0,7,0,1,je,ca,jes,ica
udreka,1,0,6,1,1,ud,ka,udr,eka
rosenia,1,0,7,0,1,ro,ia,ros,nia
shirley,1,0,7,0,0,sh,ey,shi,ley
shelda,1,0,6,0,1,sh,da,she,lda
jasmimn,1,0,7,0,0,ja,mn,jas,imn
april,1,0,5,1,0,ap,il,apr,ril
cheryl,1,0,6,0,0,ch,yl,che,ryl
tiffany,1,0,7,0,0,ti,ny,tif,any
ladieal,1,0,7,0,0,la,al,lad,eal
ladonne,1,0,7,0,1,la,ne,lad,nne
annette,1,0,7,1,1,an,te,ann,tte
helen,1,0,5,0,0,he,en,hel,len
eniee,1,0,5,1,1,en,ee,eni,iee
eugenia,1,0,7,1,1,eu,ia,eug,nia
linda,1,0,5,0,1,li,da,lin,nda
sierra,1,0,6,0,1,si,ra,sie,rra
star,1,0,4,0,0,st,ar,sta,tar
berdette,1,0,8,0,1,be,te,ber,tte
jameelah,1,0,8,0,0,ja,ah,jam,lah
