name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
aaric,0,0,5,1,0,aa,ic,aar,ric
dominique,0,0,9,0,1,do,ue,dom,que
fredrick,0,0,8,0,0,fr,ck,fre,ick
jarvis,0,0,6,0,0,ja,is,jar,vis
lorenzo,0,0,7,0,1,lo,zo,lor,nzo
paul,0,0,4,0,0,pa,ul,pau,aul
richard,0,0,7,0,0,ri,rd,ric,ard
tyler,0,0,5,0,0,ty,er,tyl,ler
elsharnoubi,0,0,11,1,1,el,bi,els,ubi
calvin,0,0,6,0,0,ca,in,cal,vin
ali,0,0,3,1,1,al,li,ali,ali
lugman,0,0,6,0,0,lu,an,lug,man
jihad,0,0,5,0,0,ji,ad,jih,had
hamid,0,0,5,0,0,ha,id,ham,mid
saboor,0,0,6,0,0,sa,or,sab,oor
yusuf,0,0,5,0,0,yu,uf,yus,suf
meshac,0,0,6,0,0,me,ac,mes,hac
gerald,0,0,6,0,0,ge,ld,ger,ald
brian,0,0,5,0,0,br,an,bri,ian
tony,0,0,4,0,0,to,ny,ton,ony
isiah,0,0,5,1,0,is,ah,isi,iah
johnny,0,0,6,0,0,jo,ny,joh,nny
parish,0,0,6,0,0,pa,sh,par,ish
clyde,0,0,5,0,1,cl,de,cly,yde
derrick,0,0,7,0,0,de,ck,der,ick
kahlil,0,0,6,0,0,ka,il,kah,lil
otha,0,0,4,1,1,ot,ha,oth,tha
billy,0,0,5,0,0,bi,ly,bil,lly
christopher,0,0,11,0,0,ch,er,chr,her
emory,0,0,5,1,0,em,ry,emo,ory
harvey,0,0,6,0,0,ha,ey,har,vey
musa,0,0,4,0,1,mu,sa,mus,usa
isaac,0,0,5,1,0,is,ac,isa,aac
edema,0,0,5,1,1,ed,ma,ede,ema
carlos,0,0,6,0,0,ca,os,car,los
jermaal,0,0,7,0,0,je,al,jer,aal
jovan,0,0,5,0,0,jo,an,jov,van
moab,0,0,4,0,0,mo,ab,moa,oab
robert,0,0,6,0,0,ro,rt,rob,ert
rufus,0,0,5,0,0,ru,us,ruf,fus
sidney,0,0,6,0,0,si,ey,sid,ney
tawaski,0,0,7,0,1,ta,ki,taw,ski
thomas,0,0,6,0,0,th,as,tho,mas
nohom,0,0,5,0,0,no,om,noh,hom
humberto,0,0,8,0,1,hu,to,hum,rto
sonny,0,0,5,0,0,so,ny,son,nny
antawune,0,0,8,1,1,an,ne,ant,une
joshua,0,0,6,0,1,jo,ua,jos,hua
kareem,0,0,6,0,0,ka,em,kar,eem
ken,0,0,3,0,0,ke,en,ken,ken
albert,0,0,6,1,0,al,rt,alb,ert
justin,0,0,6,0,0,ju,in,jus,tin
nan,0,0,3,0,0,na,an,nan,nan
mitchell,0,0,8,0,0,mi,ll,mit,ell
raphael,0,0,7,0,0,ra,el,rap,ael
alan,0,0,4,1,0,al,an,ala,lan
berrd,0,0,5,0,0,be,rd,ber,rrd
joseph,0,0,6,0,0,jo,ph,jos,eph
tierre,0,0,6,0,1,ti,re,tie,rre
arri,0,0,4,1,1,ar,ri,arr,rri
bruce,0,0,5,0,1,br,ce,bru,uce
jorge,0,0,5,0,1,jo,ge,jor,rge
raul,0,0,4,0,0,ra,ul,rau,aul
steven,0,0,6,0,0,st,en,ste,ven
cory,0,0,4,0,0,co,ry,cor,ory
rada,0,0,4,0,1,ra,da,rad,ada
armendiza,0,0,9,1,1,ar,za,arm,iza
jerry,0,0,5,0,0,je,ry,jer,rry
willy,0,0,5,0,0,wi,ly,wil,lly
allen,0,0,5,1,0,al,en,all,len
alvester,0,0,8,1,0,al,er,alv,ter
antonio,0,0,7,1,1,an,io,ant,nio
antwan,0,0,6,1,0,an,an,ant,wan
aundre,0,0,6,1,1,au,re,aun,dre
cardel,0,0,6,0,0,ca,el,car,del
clevel,0,0,6,0,0,cl,el,cle,vel
clifford,0,0,8,0,0,cl,rd,cli,ord
david,0,0,5,0,0,da,id,dav,vid
demahgio,0,0,8,0,1,de,io,dem,gio
denzel,0,0,6,0,0,de,el,den,zel
derrico,0,0,7,0,1,de,co,der,ico
devin,0,0,5,0,0,de,in,dev,vin
dold,0,0,4,0,0,do,ld,dol,old
eddie,0,0,5,1,1,ed,ie,edd,die
edward,0,0,6,1,0,ed,rd,edw,ard
eric,0,0,4,1,0,er,ic,eri,ric
eugene,0,0,6,1,1,eu,ne,eug,ene
frederick,0,0,9,0,0,fr,ck,fre,ick
fredricous,0,0,10,0,0,fr,us,fre,ous
gary,0,0,4,0,0,ga,ry,gar,ary
gregory,0,0,7,0,0,gr,ry,gre,ory
jacoby,0,0,6,0,0,ja,by,jac,oby
james,0,0,5,0,0,ja,es,jam,mes
james  iii,0,0,10,0,1,ja,ii,jam,iii
jeremiah,0,0,8,0,0,je,ah,jer,iah
jerrod,0,0,6,0,0,je,od,jer,rod
john,0,0,4,0,0,jo,hn,joh,ohn
keith,0,0,5,0,0,ke,th,kei,ith
kendall,0,0,7,0,0,ke,ll,ken,all
kenneth,0,0,7,0,0,ke,th,ken,eth
kevin,0,0,5,0,0,ke,in,kev,vin
ladarius,0,0,8,0,0,la,us,lad,ius
larry,0,0,5,0,0,la,ry,lar,rry
lawrence,0,0,8,0,1,la,ce,law,nce
lee,0,0,3,0,1,le,ee,lee,lee
leon,0,0,4,0,0,le,on,leo,eon
leord,0,0,5,0,0,le,rd,leo,ord
leondrew,0,0,8,0,0,le,ew,leo,rew
lewis,0,0,5,0,0,le,is,lew,wis
louis,0,0,5,0,0,lo,is,lou,uis
marcquis,0,0,8,0,0,ma,is,mar,uis
mario,0,0,5,0,1,ma,io,mar,rio
michael,0,0,7,0,0,mi,el,mic,ael
montravious,0,0,11,0,0,mo,us,mon,ous
noel,0,0,4,0,0,no,el,noe,oel
perized,0,0,7,0,0,pe,ed,per,zed
philip,0,0,6,0,0,ph,ip,phi,lip
ramon,0,0,5,0,0,ra,on,ram,mon
raymond,0,0,7,0,0,ra,nd,ray,ond
regild,0,0,6,0,0,re,ld,reg,ild
ricardo,0,0,7,0,1,ri,do,ric,rdo
rold,0,0,4,0,0,ro,ld,rol,old
ronnie,0,0,6,0,1,ro,ie,ron,nie
roscoe,0,0,6,0,1,ro,oe,ros,coe
roy,0,0,3,0,0,ro,oy,roy,roy
saivon,0,0,6,0,0,sa,on,sai,von
sean,0,0,4,0,0,se,an,sea,ean
sherard,0,0,7,0,0,sh,rd,she,ard
stanley,0,0,7,0,0,st,ey,sta,ley
stephen,0,0,7,0,0,st,en,ste,hen
tavaris,0,0,7,0,0,ta,is,tav,ris
terry,0,0,5,0,0,te,ry,ter,rry
timothy,0,0,7,0,0,ti,hy,tim,thy
tirell,0,0,6,0,0,ti,ll,tir,ell
