name,gender,race,length
shirley m,1,1,9
a d,1,1,3
miriam,1,1,6
ivette,1,1,6
saray,1,1,5
niurka,1,1,6
maria,1,1,5
merienne,1,1,8
rosalinda n,1,1,11
migdalia,1,1,8
mari v,1,1,6
carmen,1,1,6
zaida e,1,1,7
lurvin p,1,1,8
melissa,1,1,7
mileyka k,1,1,9
kimberly m,1,1,10
ivelisse,1,1,8
a m,1,1,3
emilia l,1,1,8
connie d,1,1,8
an v,1,1,4
samantha,1,1,8
elizabeth,1,1,9
ines g,1,1,6
djerid,1,1,6
gloria,1,1,6
linda,1,1,5
josefa,1,1,6
graciela r gon,1,1,14
ada,1,1,3
michelle,1,1,8
angela e,1,1,8
jennifer l,1,1,10
mariely,1,1,7
glenny,1,1,6
yanet t,1,1,7
maritza,1,1,7
johan s,1,1,7
rebecca l,1,1,9
yvonne y,1,1,8
adria f,1,1,7
waldi,1,1,5
melissa a,1,1,9
clarissa,1,1,8
jewel,1,1,5
lucer n,1,1,7
sue d,1,1,5
lyria,1,1,5
jennifer a,1,1,10
patricia l,1,1,10
anchelin,1,1,8
crystal,1,1,7
damaris p,1,1,9
rachel,1,1,6
vivia j,1,1,7
heizel b,1,1,8
anisia,1,1,6
mercedes,1,1,8
jessica l,1,1,9
maria e,1,1,7
erica r,1,1,7
,1,1,3
guadalupe,1,1,9
lisvet,1,1,6
veronica,1,1,8
heather s,1,1,9
lauren,1,1,6
rafaela,1,1,7
nicole r,1,1,8
osmarie k,1,1,9
alicia,1,1,6
jannelise v,1,1,11
melanie r,1,1,9
damaris,1,1,7
yorisane,1,1,8
edmee i,1,1,7
jeasie,1,1,6
jessica,1,1,7
monica m,1,1,8
valerie,1,1,7
stephanie s,1,1,11
esbeida,1,1,7
glenda y,1,1,8
claudia e,1,1,9
jessenia,1,1,8
sonia i,1,1,7
lucy p,1,1,6
antonia,1,1,7
giovan a,1,1,8
magadale,1,1,8
sisy f,1,1,6
yamila m,1,1,8
kass,1,1,4
gillymar,1,1,8
rebecca r,1,1,9
giselle m,1,1,9
jahaida,1,1,7
mary,1,1,4
emilia y,1,1,8
luz m,1,1,5
samantha n,1,1,10
maria p,1,1,7
whitney d,1,1,9
teresa m,1,1,8
glennis l,1,1,9
ernesti,1,1,7
julita d,1,1,8
alcaria,1,1,7
roxa a,1,1,6
vivian,1,1,6
christi,1,1,7
jesenia a,1,1,9
kenia,1,1,5
leonora l,1,1,9
terray m,1,1,8
martha,1,1,6
marisela,1,1,8
mabel n,1,1,7
melinda,1,1,7
sophia r,1,1,8
ruby l,1,1,6
lanessa n,1,1,9
sarah e,1,1,7
marie e,1,1,7
sabri,1,1,5
victoria m,1,1,10
jennifer,1,1,8
nci d,1,1,5
audrey m,1,1,8
marelys,1,1,7
seli,1,1,4
yomary m,1,1,8
mayra,1,1,5
danniella,1,1,9
lotia t,1,1,7
isamar,1,1,6
lydia a,1,1,7
sonchaim r,1,1,10
maria c,1,1,7
monica a,1,1,8
dessie,1,1,6
isable c,1,1,8
gloria s,1,1,8
leticia m,1,1,9
jobitza b,1,1,9
diadenis,1,1,8
yileymi,1,1,7
josselyn,1,1,8
a g,1,1,3
yvan n,1,1,6
abiezer,1,1,7
adria r,1,1,7
rosa m,1,1,6
emily m,1,1,7
eulonia d,1,1,9
marisol e,1,1,9
melissa i,1,1,9
nicole,1,1,6
ivan v,1,1,6
georgi m,1,1,8
ondi,1,1,4
yesenia m,1,1,9
judy,1,1,4
sheila d,1,1,8
sally m,1,1,7
maria g,1,1,7
gabriella d,1,1,11
courtney,1,1,8
jasmine d,1,1,9
angeli,1,1,6
ni m,1,1,4
norma l,1,1,7
geraldil,1,1,8
gloria p,1,1,8
angela p,1,1,8
jazmin,1,1,6
eleazar p,1,1,9
takemi m,1,1,8
maria f,1,1,7
mirssa,1,1,6
vera m,1,1,6
delfida,1,1,7
betrice,1,1,7
lisa m,1,1,6
denise t,1,1,8
cynthia,1,1,7
delia d,1,1,7
eulalia,1,1,7
monique m,1,1,9
lynette,1,1,7
maria s,1,1,7
dora m,1,1,6
manuella g,1,1,10
