name,gender,race
barjraj,0,3
ramdin verma,0,3
sharat chandran,0,3
birender mandal,0,3
amit,0,3
kushal,0,3
kasid,0,3
shiv prakash,0,3
vikram singh,0,3
sanjay,0,3
abhi,0,3
ram dutt gupta,0,3
khadak singh,0,3
gurmit singh,0,3
chanderpal,0,3
aman,0,3
khursid,0,3
rajeev,0,3
durgesh,0,3
nahar singh,0,3
ram kumar,0,3
sunder paal,0,3
maansingh aswal,0,3
rohit,0,3
sparsh,0,3
santosh,0,3
punit khandelwal,0,3
dinesh,0,3
gulshan,0,3
arvind kumar yadav,0,3
nausad,0,3
md. afsar,0,3
shiv shakti singh,0,3
moti lal,0,3
kausal kumar,0,3
mohabbat ali,0,3
raj kumar,0,3
jaswant singh,0,3
sevak  pitambar lal,0,3
chotelal,0,3
rupesh,0,3
midda,0,3
dharam singh,0,3
manoj yadav  manoj,0,3
ram singh,0,3
preetam kumar,0,3
sarain,0,3
pankaj kumar,0,3
sheak shakir,0,3
riyasat ali,0,3
vinit katariya,0,3
sumit,0,3
arindra,0,3
kali charan,0,3
badshya khan,0,3
vikash,0,3
devinder chadda,0,3
mohan singh,0,3
hemant,0,3
shivam,0,3
yash mittal,0,3
aakash,0,3
chandesh,0,3
sumit mitra,0,3
supriyal sen,0,3
gajender singh  goldy,0,3
pooran chand sharma,0,3
irfan,0,3
azaruddin,0,3
mukul yadav,0,3
manoj,0,3
sanjay charee,0,3
raja babu,0,3
pawan,0,3
sandeep,0,3
rajkumar chawla,0,3
parvesh,0,3
mohd ataullah,0,3
neeraj kumar,0,3
jamil khan,0,3
yogita,0,3
rijul aggarwal,0,3
mohd shakib,0,3
rahul kumar,0,3
rajender,0,3
suraj,0,3
rizwan,0,3
md mustafa,0,3
har parsad,0,3
deepak,0,3
rahul,0,3
abhishekh,0,3
shelender yadav,0,3
ankit,0,3
mohd aakib,0,3
surender singh chauhan,0,3
arjun,0,3
rahul sharma,0,3
keshar ansari,0,3
raju  chhotu,0,3
kuldeep singh,0,3
santlalgolu,0,3
lalit rana,0,3
pulkit sharma,0,3
aman soni  badal,0,3
jahoor ahmed meer,0,3
tammanne,0,3
kailash kumar,0,3
bhagwati prasad,0,3
ajay,0,3
silender,0,3
akhilesh,0,3
dipendra kumar,0,3
nitin,0,3
doodhnath pandit,0,3
aslam allam,0,3
jitender kumar,0,3
adnan,0,3
vijay,0,3
yogesh,0,3
kabir,0,3
sarvesh,0,3
rakesh sarkar,0,3
akash gupta,0,3
pintu thakur,0,3
vivek,0,3
mohd khairul,0,3
farmaan khan,0,3
vansu dev,0,3
shyam kumar,0,3
shafibul,0,3
lalit kathuriya,0,3
pooran chand,0,3
aamir hussain,0,3
