name,gender,race,length
leslie,1,2,6
peggy,1,2,5
rebecca,1,2,7
antoinette,1,2,10
shaylene,1,2,8
adneris,1,2,7
melanie,1,2,7
adria,1,2,5
angela,1,2,6
kathleen,1,2,8
marjorie,1,2,8
melissa,1,2,7
nicole,1,2,6
delemia,1,2,7
,1,2,3
dannitta,1,2,8
haley,1,2,5
jennifer,1,2,8
lauryn,1,2,6
ncy,1,2,3
patricia,1,2,8
ronda,1,2,5
samantha,1,2,8
sarah,1,2,5
tonya,1,2,5
tracey,1,2,6
ashley,1,2,6
crystal,1,2,7
vicki,1,2,5
cheryl,1,2,6
farrin,1,2,6
kesha,1,2,5
louise,1,2,6
kara,1,2,4
paula,1,2,5
aurealiz,1,2,8
lorraine,1,2,8
kialeene,1,2,8
sherry,1,2,6
mary,1,2,4
michelle,1,2,8
kayla,1,2,5
linda,1,2,5
lisa,1,2,4
caroline,1,2,8
bobbie,1,2,6
jacklyn,1,2,7
leah,1,2,4
shelby,1,2,6
karlene,1,2,7
teresa,1,2,6
lila,1,2,4
leann,1,2,5
lori,1,2,4
catherine,1,2,9
elizabeth,1,2,9
eryn,1,2,4
donetta,1,2,7
kerri,1,2,5
krystal,1,2,7
laura,1,2,5
stephanie,1,2,9
marcela,1,2,7
kenia,1,2,5
danielle,1,2,8
kimberly,1,2,8
maureen,1,2,7
adrienne,1,2,8
desiree,1,2,7
christine,1,2,9
stacey,1,2,6
michele,1,2,7
shay,1,2,4
felicia,1,2,7
amber,1,2,5
audra,1,2,5
christal,1,2,8
risa,1,2,4
sally,1,2,5
tammy,1,2,5
treva,1,2,5
denise,1,2,6
chasity,1,2,7
tanya,1,2,5
mir,1,2,3
joyce,1,2,5
rachel,1,2,6
diane,1,2,5
shantel,1,2,7
chrisanthe,1,2,10
dia,1,2,3
emily,1,2,5
milagros,1,2,8
margaret,1,2,8
maria,1,2,5
amalia,1,2,6
mirtha,1,2,6
lindsay,1,2,7
debra,1,2,5
georgi,1,2,6
brittany,1,2,8
penny,1,2,5
laurine,1,2,7
leigh,1,2,5
tiffany,1,2,7
vanessa,1,2,7
virginia,1,2,8
kelly,1,2,5
mari,1,2,4
estelle,1,2,7
vera,1,2,4
autumn,1,2,6
carolyn,1,2,7
allison,1,2,7
tracy,1,2,5
cristin,1,2,7
shannon,1,2,7
shaw,1,2,4
priscilla,1,2,9
tara,1,2,4
erica,1,2,5
jasmin,1,2,6
kathryn,1,2,7
tai,1,2,3
carmen,1,2,6
marcia,1,2,6
meghan,1,2,6
colleen,1,2,7
luisa,1,2,5
cesely,1,2,6
siomarily,1,2,9
jackeline,1,2,9
alai,1,2,4
dorca,1,2,5
barbara,1,2,7
gidget,1,2,6
jacqueline,1,2,10
rhiannon,1,2,8
jerrie,1,2,6
jessica,1,2,7
marian,1,2,6
marla,1,2,5
marylee,1,2,7
rachelle,1,2,8
raquel,1,2,6
rhonda,1,2,6
susan,1,2,5
wendy,1,2,5
kahealani,1,2,9
lore,1,2,4
emerald,1,2,7
sonja,1,2,5
toni,1,2,4
donlee,1,2,6
gladys,1,2,6
jamila,1,2,6
lauren,1,2,6
pamela,1,2,6
shau,1,2,4
karen,1,2,5
tammie,1,2,6
dian,1,2,4
kristee,1,2,7
janet,1,2,5
april,1,2,5
stacy,1,2,5
krystle,1,2,7
sharon,1,2,6
amy,1,2,3
beverly,1,2,7
cheyenne,1,2,8
destiny,1,2,7
kathy,1,2,5
monique,1,2,7
ruby,1,2,4
alex,1,2,4
marsha,1,2,6
venus,1,2,5
amie,1,2,4
charlene,1,2,8
dorothy,1,2,7
shirley,1,2,7
monica,1,2,6
kaylee,1,2,6
julie,1,2,5
tosha,1,2,5
margy,1,2,5
hayley,1,2,6
darla,1,2,5
heather,1,2,7
kristi,1,2,6
sheri,1,2,5
theresa,1,2,7
holli,1,2,5
christi,1,2,7
erin,1,2,4
jamie,1,2,5
cace,1,2,4
chastity,1,2,8
melinda,1,2,7
carol,1,2,5
martha,1,2,6
farrah,1,2,6
lauralee,1,2,8
kristine,1,2,8
santa,1,2,5
kellie,1,2,6
tabitha,1,2,7
nioshka,1,2,7
annette,1,2,7
abigail,1,2,7
alexa,1,2,5
cindy,1,2,5
patsy,1,2,5
tristan,1,2,7
janice,1,2,6
dean,1,2,4
christie,1,2,8
sharese,1,2,7
graciela,1,2,8
bridget,1,2,7
windy,1,2,5
belinda,1,2,7
lacey,1,2,5
shelley,1,2,7
anne,1,2,4
terry,1,2,5
ann,1,2,3
roberta,1,2,7
cynthia,1,2,7
keila,1,2,5
missa,1,2,5
christin,1,2,8
maricia,1,2,7
carrie,1,2,6
sheryl,1,2,6
norma,1,2,5
tricia,1,2,6
laurieann,1,2,9
janine,1,2,6
misti,1,2,5
kay,1,2,3
lynnette,1,2,8
corrine,1,2,7
lean,1,2,4
sunnie,1,2,6
tawny,1,2,5
sunceree,1,2,8
brittney,1,2,8
jill,1,2,4
juanita,1,2,7
katri,1,2,5
bethany,1,2,7
taylor,1,2,6
kendra,1,2,6
marianne,1,2,8
adi,1,2,3
irasemis,1,2,8
sheree,1,2,6
cherish,1,2,7
bonnie,1,2,6
alicia,1,2,6
renee,1,2,5
ariel,1,2,5
betty,1,2,5
bernice,1,2,7
lynn,1,2,4
shane,1,2,5
valerie,1,2,7
clover,1,2,6
aretha,1,2,6
bazlyn,1,2,6
