name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
billy,0,2,5,0,0,bi,ly,bil,lly
charles,0,2,7,0,0,ch,es,cha,les
clarence,0,2,8,0,1,cl,ce,cla,nce
justin,0,2,6,0,0,ju,in,jus,tin
roy,0,2,3,0,0,ro,oy,roy,roy
william,0,2,7,0,0,wi,am,wil,iam
cary,0,2,4,0,0,ca,ry,car,ary
manuel,0,2,6,0,0,ma,el,man,uel
eric,0,2,4,1,0,er,ic,eri,ric
kareem,0,2,6,0,0,ka,em,kar,eem
gary,0,2,4,0,0,ga,ry,gar,ary
vito,0,2,4,0,1,vi,to,vit,ito
christopher,0,2,11,0,0,ch,er,chr,her
earl,0,2,4,1,0,ea,rl,ear,arl
erik,0,2,4,1,0,er,ik,eri,rik
james,0,2,5,0,0,ja,es,jam,mes
jerry,0,2,5,0,0,je,ry,jer,rry
john,0,2,4,0,0,jo,hn,joh,ohn
michael,0,2,7,0,0,mi,el,mic,ael
robert,0,2,6,0,0,ro,rt,rob,ert
issa,0,2,4,1,1,is,sa,iss,ssa
dane,0,2,4,0,1,da,ne,dan,ane
jacob,0,2,5,0,0,ja,ob,jac,cob
simon,0,2,5,0,0,si,on,sim,mon
deryl,0,2,5,0,0,de,yl,der,ryl
gregory,0,2,7,0,0,gr,ry,gre,ory
jesse,0,2,5,0,1,je,se,jes,sse
marc,0,2,4,0,0,ma,rc,mar,arc
scott,0,2,5,0,0,sc,tt,sco,ott
jothan,0,2,6,0,0,jo,an,jot,han
peter,0,2,5,0,0,pe,er,pet,ter
joshua,0,2,6,0,1,jo,ua,jos,hua
anthony,0,2,7,1,0,an,ny,ant,ony
oliver,0,2,6,1,0,ol,er,oli,ver
moises,0,2,6,0,0,mo,es,moi,ses
juny,0,2,4,0,0,ju,ny,jun,uny
sean,0,2,4,0,0,se,an,sea,ean
jeffrey,0,2,7,0,0,je,ey,jef,rey
eugene,0,2,6,1,1,eu,ne,eug,ene
jack,0,2,4,0,0,ja,ck,jac,ack
joe,0,2,3,0,1,jo,oe,joe,joe
lowell,0,2,6,0,0,lo,ll,low,ell
samuel,0,2,6,0,0,sa,el,sam,uel
marty,0,2,5,0,0,ma,ty,mar,rty
emilo,0,2,5,1,1,em,lo,emi,ilo
