name,gender,race,length
tashanika,1,0,9
denetra,1,0,7
tomesha,1,0,7
trellany,1,0,8
cynthia,1,0,7
crystal,1,0,7
beverly,1,0,7
robin,1,0,5
sophia,1,0,6
marquita,1,0,8
sylvia,1,0,6
dorothy,1,0,7
zakiyyah,1,0,8
allissia,1,0,8
mahogany,1,0,8
melonise,1,0,8
monique,1,0,7
sherline,1,0,8
veronica,1,0,8
brenda,1,0,6
delta,1,0,5
genesha,1,0,7
margaret,1,0,8
stephanie,1,0,9
pachadgin,1,0,9
shai,1,0,4
latonia,1,0,7
ashley,1,0,6
brian,1,0,5
carlas,1,0,6
don,1,0,3
ethel,1,0,5
juanetta,1,0,8
leslie,1,0,6
paula,1,0,5
radja,1,0,5
tonya,1,0,5
jessica,1,0,7
udreka,1,0,6
rosenia,1,0,7
shirley,1,0,7
shelda,1,0,6
jasmimn,1,0,7
april,1,0,5
cheryl,1,0,6
tiffany,1,0,7
ladieal,1,0,7
ladonne,1,0,7
annette,1,0,7
helen,1,0,5
eniee,1,0,5
eugenia,1,0,7
linda,1,0,5
sierra,1,0,6
star,1,0,4
berdette,1,0,8
jameelah,1,0,8
krystle,1,0,7
sharon,1,0,6
derica,1,0,6
annie,1,0,5
billie,1,0,6
kizzie,1,0,6
lacresha,1,0,8
meeka,1,0,5
raquel,1,0,6
shanearia,1,0,9
lakisha,1,0,7
tammy,1,0,5
jamyira,1,0,7
jeanette,1,0,8
melissa,1,0,7
sherry,1,0,6
minouche,1,0,8
tamisha,1,0,7
courtney,1,0,8
shakeria,1,0,8
,1,0,3
angela,1,0,6
joan,1,0,4
emerald,1,0,7
shalonda,1,0,8
lorraine,1,0,8
lolita,1,0,6
bertha,1,0,6
erica,1,0,5
madiyah,1,0,7
denise,1,0,6
lucrecha,1,0,8
kimberly,1,0,8
teresa,1,0,6
latoya,1,0,6
sheveal,1,0,7
henrietta,1,0,9
davi,1,0,4
ferin,1,0,5
gwendolyn,1,0,9
kavarus,1,0,7
zikerria,1,0,8
charlene,1,0,8
cass,1,0,4
lillian,1,0,7
lisa,1,0,4
patricia,1,0,8
laquisha,1,0,8
saraonda,1,0,8
emma,1,0,4
deedra,1,0,6
ericka,1,0,6
tamakia,1,0,7
vanessa,1,0,7
valerie,1,0,7
rosemary,1,0,8
latoysha,1,0,8
tracey,1,0,6
jacquita,1,0,8
shatoyia,1,0,8
felicia,1,0,7
lucille,1,0,7
mekayla,1,0,7
tijua,1,0,5
markita,1,0,7
teneya,1,0,6
nicole,1,0,6
shamekia,1,0,8
cordera,1,0,7
yal,1,0,3
sharicka,1,0,8
richelle,1,0,8
dejua,1,0,5
pamela,1,0,6
nikeyshia,1,0,9
zakia,1,0,5
hope,1,0,4
shantel,1,0,7
judith,1,0,6
catrice,1,0,7
sufern,1,0,6
fisthnise,1,0,9
tasha,1,0,5
chriss,1,0,6
dominique,1,0,9
amethyst,1,0,8
chernece,1,0,8
denice,1,0,6
gloria,1,0,6
valgean,1,0,7
mamie,1,0,5
debora,1,0,6
shakera,1,0,7
tabitha,1,0,7
takeya,1,0,6
chonv,1,0,5
latasha,1,0,7
aysia,1,0,5
alexis,1,0,6
alfreda,1,0,7
aya,1,0,3
britanica,1,0,9
camille,1,0,7
charmaine,1,0,9
charrdoye,1,0,9
damia,1,0,5
frances,1,0,7
gelera,1,0,6
jennifer,1,0,8
karla,1,0,5
katri,1,0,5
kendra,1,0,6
kenyatta,1,0,8
lashundria,1,0,10
latonya,1,0,7
lonnie,1,0,6
marci,1,0,5
moniqua,1,0,7
ome,1,0,3
talie,1,0,5
niayetta,1,0,8
precious,1,0,8
romo,1,0,4
rusheda,1,0,7
shantoya,1,0,8
shela,1,0,5
shelia,1,0,6
shontell,1,0,8
sonya,1,0,5
tania,1,0,5
tashara,1,0,7
teretha,1,0,7
tory,1,0,4
tykebitha,1,0,9
qia,1,0,3
israel,1,0,6
melinda,1,0,7
angeli,1,0,6
ebony,1,0,5
lean,1,0,4
lockie,1,0,6
tracy,1,0,5
terri,1,0,5
yvette,1,0,6
lauren,1,0,6
cedrenea,1,0,8
beatrice,1,0,8
takikie,1,0,7
jacquelyn,1,0,9
taquesta,1,0,8
marie,1,0,5
anntawan,1,0,8
lacharion,1,0,9
roxanne,1,0,7
shernita,1,0,8
shenkda,1,0,7
kalnisha,1,0,8
tamera,1,0,6
tami,1,0,4
cameshia,1,0,8
kerry,1,0,5
valencia,1,0,8
khierta,1,0,7
tamara,1,0,6
mattie,1,0,6
shelea,1,0,6
tayquaill,1,0,9
nikki,1,0,5
lakira,1,0,6
shameka,1,0,7
alesha,1,0,6
tia,1,0,3
cherai,1,0,6
demetria,1,0,8
terry,1,0,5
yol,1,0,3
zucchini,1,0,8
alexus,1,0,6
aysheia,1,0,7
tremeka,1,0,7
asia,1,0,4
rebecca,1,0,7
toccara,1,0,7
kenitra,1,0,7
joycelyn,1,0,8
kim,1,0,3
minerva,1,0,7
chelsea,1,0,7
portia,1,0,6
alicia,1,0,6
gytonia,1,0,7
charlotte,1,0,9
erma,1,0,4
arshantayvi,1,0,11
shantwanice,1,0,11
letisha,1,0,7
nekosha,1,0,7
chantay,1,0,7
queen,1,0,5
shimika,1,0,7
arlean,1,0,6
katie,1,0,5
ruby,1,0,4
susanne,1,0,7
curtessa,1,0,8
cierra,1,0,6
freda,1,0,5
jacquella,1,0,9
marlo,1,0,5
sabri,1,0,5
genie,1,0,5
tempress,1,0,8
hawanya,1,0,7
chantel,1,0,7
bianca,1,0,6
cynti,1,0,5
kesha,1,0,5
savonia,1,0,7
shayla,1,0,6
vivian,1,0,6
keryline,1,0,8
deji,1,0,4
edricka,1,0,7
princess,1,0,8
rhonda,1,0,6
juanita,1,0,7
