name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
shirley,1,1,7,0,0,sh,ey,shi,ley
,1,1,3,0,0,na,an,,
miriam,1,1,6,0,0,mi,am,mir,iam
ivette,1,1,6,1,1,iv,te,ive,tte
saray,1,1,5,0,0,sa,ay,sar,ray
niurka,1,1,6,0,1,ni,ka,niu,rka
maria,1,1,5,0,1,ma,ia,mar,ria
merienne,1,1,8,0,1,me,ne,mer,nne
rosalinda,1,1,9,0,1,ro,da,ros,nda
migdalia,1,1,8,0,1,mi,ia,mig,lia
mari,1,1,4,0,1,ma,ri,mar,ari
carmen,1,1,6,0,0,ca,en,car,men
zaida,1,1,5,0,1,za,da,zai,ida
lurvin,1,1,6,0,0,lu,in,lur,vin
melissa,1,1,7,0,1,me,sa,mel,ssa
mileyka,1,1,7,0,1,mi,ka,mil,yka
kimberly,1,1,8,0,0,ki,ly,kim,rly
ivelisse,1,1,8,1,1,iv,se,ive,sse
emilia,1,1,6,1,1,em,ia,emi,lia
connie,1,1,6,0,1,co,ie,con,nie
samantha,1,1,8,0,1,sa,ha,sam,tha
elizabeth,1,1,9,1,0,el,th,eli,eth
ines,1,1,4,1,0,in,es,ine,nes
djerid,1,1,6,0,0,dj,id,dje,rid
gloria,1,1,6,0,1,gl,ia,glo,ria
linda,1,1,5,0,1,li,da,lin,nda
josefa,1,1,6,0,1,jo,fa,jos,efa
graciela  gon,1,1,13,0,0,gr,on,gra,gon
ada,1,1,3,1,1,ad,da,ada,ada
michelle,1,1,8,0,1,mi,le,mic,lle
angela,1,1,6,1,1,an,la,ang,ela
jennifer,1,1,8,0,0,je,er,jen,fer
mariely,1,1,7,0,0,ma,ly,mar,ely
glenny,1,1,6,0,0,gl,ny,gle,nny
yanet,1,1,5,0,0,ya,et,yan,net
maritza,1,1,7,0,1,ma,za,mar,tza
johan,1,1,5,0,0,jo,an,joh,han
rebecca,1,1,7,0,1,re,ca,reb,cca
yvonne,1,1,6,0,1,yv,ne,yvo,nne
adria,1,1,5,1,1,ad,ia,adr,ria
waldi,1,1,5,0,1,wa,di,wal,ldi
clarissa,1,1,8,0,1,cl,sa,cla,ssa
jewel,1,1,5,0,0,je,el,jew,wel
lucer,1,1,5,0,0,lu,er,luc,cer
sue,1,1,3,0,1,su,ue,sue,sue
lyria,1,1,5,0,1,ly,ia,lyr,ria
patricia,1,1,8,0,1,pa,ia,pat,cia
anchelin,1,1,8,1,0,an,in,anc,lin
crystal,1,1,7,0,0,cr,al,cry,tal
damaris,1,1,7,0,0,da,is,dam,ris
rachel,1,1,6,0,0,ra,el,rac,hel
vivia,1,1,5,0,1,vi,ia,viv,via
heizel,1,1,6,0,0,he,el,hei,zel
anisia,1,1,6,1,1,an,ia,ani,sia
mercedes,1,1,8,0,0,me,es,mer,des
jessica,1,1,7,0,1,je,ca,jes,ica
erica,1,1,5,1,1,er,ca,eri,ica
guadalupe,1,1,9,0,1,gu,pe,gua,upe
lisvet,1,1,6,0,0,li,et,lis,vet
veronica,1,1,8,0,1,ve,ca,ver,ica
heather,1,1,7,0,0,he,er,hea,her
lauren,1,1,6,0,0,la,en,lau,ren
rafaela,1,1,7,0,1,ra,la,raf,ela
nicole,1,1,6,0,1,ni,le,nic,ole
osmarie,1,1,7,1,1,os,ie,osm,rie
alicia,1,1,6,1,1,al,ia,ali,cia
jannelise,1,1,9,0,1,ja,se,jan,ise
melanie,1,1,7,0,1,me,ie,mel,nie
yorisane,1,1,8,0,1,yo,ne,yor,ane
edmee,1,1,5,1,1,ed,ee,edm,mee
jeasie,1,1,6,0,1,je,ie,jea,sie
monica,1,1,6,0,1,mo,ca,mon,ica
valerie,1,1,7,0,1,va,ie,val,rie
stephanie,1,1,9,0,1,st,ie,ste,nie
esbeida,1,1,7,1,1,es,da,esb,ida
glenda,1,1,6,0,1,gl,da,gle,nda
claudia,1,1,7,0,1,cl,ia,cla,dia
jessenia,1,1,8,0,1,je,ia,jes,nia
sonia,1,1,5,0,1,so,ia,son,nia
lucy,1,1,4,0,0,lu,cy,luc,ucy
antonia,1,1,7,1,1,an,ia,ant,nia
giovan,1,1,6,0,0,gi,an,gio,van
magadale,1,1,8,0,1,ma,le,mag,ale
sisy,1,1,4,0,0,si,sy,sis,isy
yamila,1,1,6,0,1,ya,la,yam,ila
kass,1,1,4,0,0,ka,ss,kas,ass
gillymar,1,1,8,0,0,gi,ar,gil,mar
giselle,1,1,7,0,1,gi,le,gis,lle
jahaida,1,1,7,0,1,ja,da,jah,ida
