name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
jothan,0,1,6,0,0,jo,an,jot,han
pablo,0,1,5,0,1,pa,lo,pab,blo
basilio,0,1,7,0,1,ba,io,bas,lio
german,0,1,6,0,0,ge,an,ger,man
javier,0,1,6,0,0,ja,er,jav,ier
luis,0,1,4,0,0,lu,is,lui,uis
angel,0,1,5,1,0,an,el,ang,gel
antonio,0,1,7,1,1,an,io,ant,nio
,0,1,3,0,0,na,an,,
carlos,0,1,6,0,0,ca,os,car,los
diego,0,1,5,0,1,di,go,die,ego
harold,0,1,6,0,0,ha,ld,har,old
jose,0,1,4,0,1,jo,se,jos,ose
michael,0,1,7,0,0,mi,el,mic,ael
christopher,0,1,11,0,0,ch,er,chr,her
felipe,0,1,6,0,1,fe,pe,fel,ipe
abraham,0,1,7,1,0,ab,am,abr,ham
alberto,0,1,7,1,1,al,to,alb,rto
brian,0,1,5,0,0,br,an,bri,ian
francisco,0,1,9,0,1,fr,co,fra,sco
joe,0,1,3,0,1,jo,oe,joe,joe
julio,0,1,5,0,1,ju,io,jul,lio
moises,0,1,6,0,0,mo,es,moi,ses
orl,0,1,3,1,0,or,rl,orl,orl
robert,0,1,6,0,0,ro,rt,rob,ert
wilfredo,0,1,8,0,1,wi,do,wil,edo
juan,0,1,4,0,0,ju,an,jua,uan
omar,0,1,4,1,0,om,ar,oma,mar
emanuel,0,1,7,1,0,em,el,ema,uel
misael,0,1,6,0,0,mi,el,mis,ael
israel,0,1,6,1,0,is,el,isr,ael
felix,0,1,5,0,0,fe,ix,fel,lix
gustavo,0,1,7,0,1,gu,vo,gus,avo
even,0,1,4,1,0,ev,en,eve,ven
angell,0,1,6,1,0,an,ll,ang,ell
eduardo,0,1,7,1,1,ed,do,edu,rdo
emmanuel,0,1,8,1,0,em,el,emm,uel
margarito,0,1,9,0,1,ma,to,mar,ito
roman,0,1,5,0,0,ro,an,rom,man
alsibiaoes,0,1,10,1,0,al,es,als,oes
daniel,0,1,6,0,0,da,el,dan,iel
odelin,0,1,6,1,0,od,in,ode,lin
roger,0,1,5,0,0,ro,er,rog,ger
arnoldo,0,1,7,1,1,ar,do,arn,ldo
eduard,0,1,6,1,0,ed,rd,edu,ard
belizario,0,1,9,0,1,be,io,bel,rio
jesus,0,1,5,0,0,je,us,jes,sus
rabuith,0,1,7,0,0,ra,th,rab,ith
clemente,0,1,8,0,1,cl,te,cle,nte
teodulfo,0,1,8,0,1,te,fo,teo,lfo
phillip,0,1,7,0,0,ph,ip,phi,lip
ernesto,0,1,7,1,1,er,to,ern,sto
william,0,1,7,0,0,wi,am,wil,iam
pedro,0,1,5,0,1,pe,ro,ped,dro
rene,0,1,4,0,1,re,ne,ren,ene
jony,0,1,4,0,0,jo,ny,jon,ony
cesar,0,1,5,0,0,ce,ar,ces,sar
steve,0,1,5,0,1,st,ve,ste,eve
guillermo,0,1,9,0,1,gu,mo,gui,rmo
mayronn,0,1,7,0,0,ma,nn,may,onn
oscar,0,1,5,1,0,os,ar,osc,car
santos,0,1,6,0,0,sa,os,san,tos
brayan,0,1,6,0,0,br,an,bra,yan
christian,0,1,9,0,0,ch,an,chr,ian
heliodoro,0,1,9,0,1,he,ro,hel,oro
anthony,0,1,7,1,0,an,ny,ant,ony
alvin,0,1,5,1,0,al,in,alv,vin
efrain,0,1,6,1,0,ef,in,efr,ain
esau ismael,0,1,11,1,0,es,el,esa,ael
francico,0,1,8,0,1,fr,co,fra,ico
raul,0,1,4,0,0,ra,ul,rau,aul
hun,0,1,3,0,0,hu,un,hun,hun
roberto,0,1,7,0,1,ro,to,rob,rto
junior,0,1,6,0,0,ju,or,jun,ior
leordo,0,1,6,0,1,le,do,leo,rdo
george,0,1,6,0,1,ge,ge,geo,rge
edward,0,1,6,1,0,ed,rd,edw,ard
erik,0,1,4,1,0,er,ik,eri,rik
igcio,0,1,5,1,1,ig,io,igc,cio
joshua,0,1,6,0,1,jo,ua,jos,hua
torbio,0,1,6,0,1,to,io,tor,bio
uriel,0,1,5,1,0,ur,el,uri,iel
wiliah,0,1,6,0,0,wi,ah,wil,iah
cipriano,0,1,8,0,1,ci,no,cip,ano
alfredo,0,1,7,1,1,al,do,alf,edo
edgar,0,1,5,1,0,ed,ar,edg,gar
eli,0,1,3,1,1,el,li,eli,eli
gean,0,1,4,0,0,ge,an,gea,ean
justine,0,1,7,0,1,ju,ne,jus,ine
nestor,0,1,6,0,0,ne,or,nes,tor
ramon,0,1,5,0,0,ra,on,ram,mon
raymond,0,1,7,0,0,ra,nd,ray,ond
xavier,0,1,6,0,0,xa,er,xav,ier
yasman,0,1,6,0,0,ya,an,yas,man
marcelo,0,1,7,0,1,ma,lo,mar,elo
ricardo,0,1,7,0,1,ri,do,ric,rdo
alex,0,1,4,1,0,al,ex,ale,lex
hector,0,1,6,0,0,he,or,hec,tor
jacobo,0,1,6,0,1,ja,bo,jac,obo
yasser,0,1,6,0,0,ya,er,yas,ser
miguel,0,1,6,0,0,mi,el,mig,uel
rigoberto,0,1,9,0,1,ri,to,rig,rto
jessie,0,1,6,0,1,je,ie,jes,sie
mark,0,1,4,0,0,ma,rk,mar,ark
carmen,0,1,6,0,0,ca,en,car,men
profirio,0,1,8,0,1,pr,io,pro,rio
carlo,0,1,5,0,1,ca,lo,car,rlo
salvador,0,1,8,0,0,sa,or,sal,dor
gil,0,1,3,0,0,gi,il,gil,gil
aramis,0,1,6,1,0,ar,is,ara,mis
florentino,0,1,10,0,1,fl,no,flo,ino
josue,0,1,5,0,1,jo,ue,jos,sue
yovany,0,1,6,0,0,yo,ny,yov,any
fern,0,1,4,0,0,fe,rn,fer,ern
floriberto,0,1,10,0,1,fl,to,flo,rto
reildo,0,1,6,0,1,re,do,rei,ldo
domingo,0,1,7,0,1,do,go,dom,ngo
donovan,0,1,7,0,0,do,an,don,van
allen,0,1,5,1,0,al,en,all,len
dwayne,0,1,6,0,1,dw,ne,dwa,yne
esteban,0,1,7,1,0,es,an,est,ban
enrique,0,1,7,1,1,en,ue,enr,que
alain,0,1,5,1,0,al,in,ala,ain
manuel,0,1,6,0,0,ma,el,man,uel
steven,0,1,6,0,0,st,en,ste,ven
arturo,0,1,6,1,1,ar,ro,art,uro
johnny,0,1,6,0,0,jo,ny,joh,nny
melvin,0,1,6,0,0,me,in,mel,vin
gerardo,0,1,7,0,1,ge,do,ger,rdo
erie,0,1,4,1,1,er,ie,eri,rie
rutilio,0,1,7,0,1,ru,io,rut,lio
esmildo,0,1,7,1,1,es,do,esm,ldo
david,0,1,5,0,0,da,id,dav,vid
gary,0,1,4,0,0,ga,ry,gar,ary
jamie,0,1,5,0,1,ja,ie,jam,mie
marcos,0,1,6,0,0,ma,os,mar,cos
reyldo,0,1,6,0,1,re,do,rey,ldo
vicente,0,1,7,0,1,vi,te,vic,nte
alnesto,0,1,7,1,1,al,to,aln,sto
ruben,0,1,5,0,0,ru,en,rub,ben
rafael,0,1,6,0,0,ra,el,raf,ael
gilberto,0,1,8,0,1,gi,to,gil,rto
maikel,0,1,6,0,0,ma,el,mai,kel
louis,0,1,5,0,0,lo,is,lou,uis
jason,0,1,5,0,0,ja,on,jas,son
jorge,0,1,5,0,1,jo,ge,jor,rge
justino,0,1,7,0,1,ju,no,jus,ino
victor,0,1,6,0,0,vi,or,vic,tor
alej,0,1,4,1,0,al,ej,ale,lej
jaime,0,1,5,0,1,ja,me,jai,ime
