name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
shivani,1,3,7,0,1,sh,ni,shi,ani
isha,1,3,4,1,1,is,ha,ish,sha
smt shyani devi,1,3,15,0,1,sm,vi,smt,evi
divya,1,3,5,0,1,di,ya,div,vya
mansi,1,3,5,0,1,ma,si,man,nsi
mazida,1,3,6,0,1,ma,da,maz,ida
pooja,1,3,5,0,1,po,ja,poo,oja
kajal,1,3,5,0,0,ka,al,kaj,jal
mee,1,3,3,0,1,me,ee,mee,mee
som,1,3,3,0,0,so,om,som,som
buity,1,3,5,0,0,bu,ty,bui,ity
,1,3,3,0,0,na,an,,
shakshi sagar,1,3,13,0,0,sh,ar,sha,gar
anita,1,3,5,1,1,an,ta,ani,ita
neetu,1,3,5,0,1,ne,tu,nee,etu
anshu,1,3,5,1,1,an,hu,ans,shu
kanika kathuria,1,3,15,0,1,ka,ia,kan,ria
manju,1,3,5,0,1,ma,ju,man,nju
shakshi,1,3,7,0,1,sh,hi,sha,shi
ree,1,3,3,0,1,re,ee,ree,ree
neha,1,3,4,0,1,ne,ha,neh,eha
khushboo,1,3,8,0,1,kh,oo,khu,boo
aasmin,1,3,6,1,0,aa,in,aas,min
jyoti,1,3,5,0,1,jy,ti,jyo,oti
riya masi,1,3,9,0,1,ri,si,riy,asi
rekha,1,3,5,0,1,re,ha,rek,kha
leela,1,3,5,0,1,le,la,lee,ela
gulshan,1,3,7,0,0,gu,an,gul,han
priya jain,1,3,10,0,0,pr,in,pri,ain
rakhi,1,3,5,0,1,ra,hi,rak,khi
versha,1,3,6,0,1,ve,ha,ver,sha
sunita,1,3,6,0,1,su,ta,sun,ita
nitu kumari,1,3,11,0,1,ni,ri,nit,ari
roshni,1,3,6,0,1,ro,ni,ros,hni
parveen,1,3,7,0,0,pa,en,par,een
versa,1,3,5,0,1,ve,sa,ver,rsa
kavita,1,3,6,0,1,ka,ta,kav,ita
sarojani,1,3,8,0,1,sa,ni,sar,ani
tapas das,1,3,9,0,0,ta,as,tap,das
