name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
barjraj,0,3,7,0,0,ba,aj,bar,raj
ramdin verma,0,3,12,0,1,ra,ma,ram,rma
sharat,0,3,6,0,0,sh,at,sha,rat
birender,0,3,8,0,0,bi,er,bir,der
amit,0,3,4,1,0,am,it,ami,mit
kushal,0,3,6,0,0,ku,al,kus,hal
kasid,0,3,5,0,0,ka,id,kas,sid
shiv prakash,0,3,12,0,0,sh,sh,shi,ash
vikram singh,0,3,12,0,0,vi,gh,vik,ngh
sanjay,0,3,6,0,0,sa,ay,san,jay
abhi,0,3,4,1,1,ab,hi,abh,bhi
ram dutt gupta,0,3,14,0,1,ra,ta,ram,pta
khadak singh,0,3,12,0,0,kh,gh,kha,ngh
gurmit singh,0,3,12,0,0,gu,gh,gur,ngh
,0,3,3,0,0,na,an,,
aman,0,3,4,1,0,am,an,ama,man
khursid,0,3,7,0,0,kh,id,khu,sid
rajeev,0,3,6,0,0,ra,ev,raj,eev
durgesh,0,3,7,0,0,du,sh,dur,esh
har singh,0,3,9,0,0,ha,gh,har,ngh
ram kumar,0,3,9,0,0,ra,ar,ram,mar
sunder paal,0,3,11,0,0,su,al,sun,aal
maansingh aswal,0,3,15,0,0,ma,al,maa,wal
rohit,0,3,5,0,0,ro,it,roh,hit
sparsh,0,3,6,0,0,sp,sh,spa,rsh
santosh,0,3,7,0,0,sa,sh,san,osh
punit,0,3,5,0,0,pu,it,pun,nit
dinesh,0,3,6,0,0,di,sh,din,esh
gulshan,0,3,7,0,0,gu,an,gul,han
arvind kumar yadav,0,3,18,1,0,ar,av,arv,dav
usad,0,3,4,1,0,us,ad,usa,sad
afsar,0,3,5,1,0,af,ar,afs,sar
shiv shakti singh,0,3,17,0,0,sh,gh,shi,ngh
moti lal,0,3,8,0,0,mo,al,mot,lal
kausal kumar,0,3,12,0,0,ka,ar,kau,mar
mohabbat ali,0,3,12,0,1,mo,li,moh,ali
raj kumar,0,3,9,0,0,ra,ar,raj,mar
jaswant singh,0,3,13,0,0,ja,gh,jas,ngh
sevak,0,3,5,0,0,se,ak,sev,vak
chotelal,0,3,8,0,0,ch,al,cho,lal
rupesh,0,3,6,0,0,ru,sh,rup,esh
midda,0,3,5,0,1,mi,da,mid,dda
dharam singh,0,3,12,0,0,dh,gh,dha,ngh
manoj yadav,0,3,11,0,0,ma,av,man,dav
ram singh,0,3,9,0,0,ra,gh,ram,ngh
preetam kumar,0,3,13,0,0,pr,ar,pre,mar
sarain,0,3,6,0,0,sa,in,sar,ain
pankaj kumar,0,3,12,0,0,pa,ar,pan,mar
sheak shakir,0,3,12,0,0,sh,ir,she,kir
riyasat ali,0,3,11,0,1,ri,li,riy,ali
vinit katariya,0,3,14,0,1,vi,ya,vin,iya
sumit,0,3,5,0,0,su,it,sum,mit
arindra,0,3,7,1,1,ar,ra,ari,dra
kali charan,0,3,11,0,0,ka,an,kal,ran
badshya khan,0,3,12,0,0,ba,an,bad,han
vikash,0,3,6,0,0,vi,sh,vik,ash
devinder chadda,0,3,15,0,1,de,da,dev,dda
mohan singh,0,3,11,0,0,mo,gh,moh,ngh
hemant,0,3,6,0,0,he,nt,hem,ant
shivam,0,3,6,0,0,sh,am,shi,vam
yash mittal,0,3,11,0,0,ya,al,yas,tal
aakash,0,3,6,1,0,aa,sh,aak,ash
sumit mitra,0,3,11,0,1,su,ra,sum,tra
supriyal sen,0,3,12,0,0,su,en,sup,sen
gajender singh,0,3,14,0,0,ga,gh,gaj,ngh
pooran,0,3,6,0,0,po,an,poo,ran
irfan,0,3,5,1,0,ir,an,irf,fan
azaruddin,0,3,9,1,0,az,in,aza,din
mukul yadav,0,3,11,0,0,mu,av,muk,dav
manoj,0,3,5,0,0,ma,oj,man,noj
sanjay charee,0,3,13,0,1,sa,ee,san,ree
raja babu,0,3,9,0,1,ra,bu,raj,abu
pawan,0,3,5,0,0,pa,an,paw,wan
rajkumar chawla,0,3,15,0,1,ra,la,raj,wla
parvesh,0,3,7,0,0,pa,sh,par,esh
mohd ataullah,0,3,13,0,0,mo,ah,moh,lah
neeraj kumar,0,3,12,0,0,ne,ar,nee,mar
jamil khan,0,3,10,0,0,ja,an,jam,han
yogita,0,3,6,0,1,yo,ta,yog,ita
rijul aggarwal,0,3,14,0,0,ri,al,rij,wal
mohd shakib,0,3,11,0,0,mo,ib,moh,kib
rahul kumar,0,3,11,0,0,ra,ar,rah,mar
rajender,0,3,8,0,0,ra,er,raj,der
suraj,0,3,5,0,0,su,aj,sur,raj
rizwan,0,3,6,0,0,ri,an,riz,wan
mustafa,0,3,7,0,1,mu,fa,mus,afa
har parsad,0,3,10,0,0,ha,ad,har,sad
deepak,0,3,6,0,0,de,ak,dee,pak
rahul,0,3,5,0,0,ra,ul,rah,hul
abhishekh,0,3,9,1,0,ab,kh,abh,ekh
shelender yadav,0,3,15,0,0,sh,av,she,dav
ankit,0,3,5,1,0,an,it,ank,kit
mohd aakib,0,3,10,0,0,mo,ib,moh,kib
