name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
leslie,1,2,6,0,1,le,ie,les,lie
peggy,1,2,5,0,0,pe,gy,peg,ggy
rebecca,1,2,7,0,1,re,ca,reb,cca
antoinette,1,2,10,1,1,an,te,ant,tte
shaylene,1,2,8,0,1,sh,ne,sha,ene
adneris,1,2,7,1,0,ad,is,adn,ris
melanie,1,2,7,0,1,me,ie,mel,nie
adria,1,2,5,1,1,ad,ia,adr,ria
angela,1,2,6,1,1,an,la,ang,ela
kathleen,1,2,8,0,0,ka,en,kat,een
marjorie,1,2,8,0,1,ma,ie,mar,rie
melissa,1,2,7,0,1,me,sa,mel,ssa
nicole,1,2,6,0,1,ni,le,nic,ole
delemia,1,2,7,0,1,de,ia,del,mia
,1,2,3,0,0,na,an,,
dannitta,1,2,8,0,1,da,ta,dan,tta
haley,1,2,5,0,0,ha,ey,hal,ley
jennifer,1,2,8,0,0,je,er,jen,fer
lauryn,1,2,6,0,0,la,yn,lau,ryn
ncy,1,2,3,0,0,nc,cy,ncy,ncy
patricia,1,2,8,0,1,pa,ia,pat,cia
ronda,1,2,5,0,1,ro,da,ron,nda
samantha,1,2,8,0,1,sa,ha,sam,tha
sarah,1,2,5,0,0,sa,ah,sar,rah
tonya,1,2,5,0,1,to,ya,ton,nya
tracey,1,2,6,0,0,tr,ey,tra,cey
ashley,1,2,6,1,0,as,ey,ash,ley
crystal,1,2,7,0,0,cr,al,cry,tal
vicki,1,2,5,0,1,vi,ki,vic,cki
cheryl,1,2,6,0,0,ch,yl,che,ryl
farrin,1,2,6,0,0,fa,in,far,rin
kesha,1,2,5,0,1,ke,ha,kes,sha
louise,1,2,6,0,1,lo,se,lou,ise
kara,1,2,4,0,1,ka,ra,kar,ara
paula,1,2,5,0,1,pa,la,pau,ula
aurealiz,1,2,8,1,0,au,iz,aur,liz
lorraine,1,2,8,0,1,lo,ne,lor,ine
kialeene,1,2,8,0,1,ki,ne,kia,ene
sherry,1,2,6,0,0,sh,ry,she,rry
mary,1,2,4,0,0,ma,ry,mar,ary
michelle,1,2,8,0,1,mi,le,mic,lle
kayla,1,2,5,0,1,ka,la,kay,yla
linda,1,2,5,0,1,li,da,lin,nda
lisa,1,2,4,0,1,li,sa,lis,isa
caroline,1,2,8,0,1,ca,ne,car,ine
bobbie,1,2,6,0,1,bo,ie,bob,bie
jacklyn,1,2,7,0,0,ja,yn,jac,lyn
leah,1,2,4,0,0,le,ah,lea,eah
shelby,1,2,6,0,0,sh,by,she,lby
karlene,1,2,7,0,1,ka,ne,kar,ene
teresa,1,2,6,0,1,te,sa,ter,esa
lila,1,2,4,0,1,li,la,lil,ila
leann,1,2,5,0,0,le,nn,lea,ann
lori,1,2,4,0,1,lo,ri,lor,ori
catherine,1,2,9,0,1,ca,ne,cat,ine
elizabeth,1,2,9,1,0,el,th,eli,eth
eryn,1,2,4,1,0,er,yn,ery,ryn
donetta,1,2,7,0,1,do,ta,don,tta
kerri,1,2,5,0,1,ke,ri,ker,rri
krystal,1,2,7,0,0,kr,al,kry,tal
laura,1,2,5,0,1,la,ra,lau,ura
stephanie,1,2,9,0,1,st,ie,ste,nie
marcela,1,2,7,0,1,ma,la,mar,ela
kenia,1,2,5,0,1,ke,ia,ken,nia
danielle,1,2,8,0,1,da,le,dan,lle
kimberly,1,2,8,0,0,ki,ly,kim,rly
maureen,1,2,7,0,0,ma,en,mau,een
adrienne,1,2,8,1,1,ad,ne,adr,nne
desiree,1,2,7,0,1,de,ee,des,ree
christine,1,2,9,0,1,ch,ne,chr,ine
stacey,1,2,6,0,0,st,ey,sta,cey
michele,1,2,7,0,1,mi,le,mic,ele
shay,1,2,4,0,0,sh,ay,sha,hay
felicia,1,2,7,0,1,fe,ia,fel,cia
amber,1,2,5,1,0,am,er,amb,ber
