name,gender,race,length
billy,0,2,5
charles,0,2,7
clarence,0,2,8
justin,0,2,6
roy,0,2,3
william,0,2,7
cary,0,2,4
manuel,0,2,6
eric,0,2,4
kareem,0,2,6
gary,0,2,4
vito,0,2,4
christopher,0,2,11
earl,0,2,4
erik,0,2,4
james,0,2,5
jerry,0,2,5
john,0,2,4
michael,0,2,7
robert,0,2,6
issa,0,2,4
dane,0,2,4
jacob,0,2,5
simon,0,2,5
deryl,0,2,5
gregory,0,2,7
jesse,0,2,5
marc,0,2,4
scott,0,2,5
jothan,0,2,6
peter,0,2,5
joshua,0,2,6
anthony,0,2,7
oliver,0,2,6
moises,0,2,6
juny,0,2,4
sean,0,2,4
jeffrey,0,2,7
eugene,0,2,6
jack,0,2,4
joe,0,2,3
lowell,0,2,6
samuel,0,2,6
marty,0,2,5
emilo,0,2,5
alex,0,2,4
jose,0,2,4
julio,0,2,5
zachariah,0,2,9
edward,0,2,6
bracey,0,2,6
chris,0,2,5
damion,0,2,6
tayil,0,2,5
hassan,0,2,6
mario,0,2,5
edwin,0,2,5
ledar,0,2,5
kenneth,0,2,7
david,0,2,5
angelo,0,2,6
jade,0,2,4
adam,0,2,4
antonio,0,2,7
carlos,0,2,6
esteban,0,2,7
george,0,2,6
johnny,0,2,6
juan,0,2,4
raymond,0,2,7
sergio,0,2,6
steven,0,2,6
ricardo,0,2,7
faustino,0,2,8
corey,0,2,5
christian,0,2,9
kasey,0,2,5
kevin,0,2,5
,0,2,3
willie,0,2,6
arm,0,2,3
bryan,0,2,5
edgardo,0,2,7
emilio,0,2,6
jaime,0,2,5
jesus,0,2,5
joseph,0,2,6
luis,0,2,4
maximo,0,2,6
orl,0,2,3
osvaldo,0,2,7
pedro,0,2,5
victor,0,2,6
loisselt,0,2,8
justo,0,2,5
dold,0,2,4
dave,0,2,4
santos,0,2,6
edmund,0,2,6
glenn,0,2,5
arnold,0,2,6
ashley,0,2,6
austin,0,2,6
brian,0,2,5
bruce,0,2,5
caleb,0,2,5
craig,0,2,5
daniel,0,2,6
dean,0,2,4
derek,0,2,5
duane,0,2,5
dustin,0,2,6
frank,0,2,5
harold,0,2,6
harry,0,2,5
jason,0,2,5
jeremiah,0,2,8
jimmy,0,2,5
joel,0,2,4
klaytin,0,2,7
lawrence,0,2,8
mark,0,2,4
matthew,0,2,7
monte,0,2,5
nemo,0,2,4
nicolas,0,2,7
norman,0,2,6
norm,0,2,4
paul,0,2,4
phillip,0,2,7
quentin,0,2,7
richard,0,2,7
roderick,0,2,8
ronnie,0,2,6
shane,0,2,5
thomas,0,2,6
timothy,0,2,7
todd,0,2,4
tracy,0,2,5
vonsher,0,2,7
alain,0,2,5
gordon,0,2,6
mitchell,0,2,8
shawn,0,2,5
allen,0,2,5
aaron,0,2,5
bobby,0,2,5
franklin,0,2,8
herbert,0,2,7
lawton,0,2,6
phillip  iii,0,2,12
roger,0,2,5
travis,0,2,6
wayne,0,2,5
jarod,0,2,5
wilmer,0,2,6
rodney,0,2,6
terry,0,2,5
alec,0,2,4
jurel,0,2,5
aziz,0,2,4
morteza,0,2,7
barry,0,2,5
troy,0,2,4
adrian,0,2,6
eddie,0,2,5
vincent,0,2,7
jovan,0,2,5
hector,0,2,6
hayron,0,2,6
lazaro,0,2,6
domingo,0,2,7
elvin,0,2,5
ephraim,0,2,7
frankie,0,2,7
gerardo,0,2,7
javier,0,2,6
laavi,0,2,5
nelson,0,2,6
roberto,0,2,7
alej,0,2,4
reynyer,0,2,7
felix,0,2,5
erin,0,2,4
fern,0,2,4
martin,0,2,6
cameron,0,2,7
lynn,0,2,4
qib,0,2,3
derick,0,2,6
lee,0,2,3
mathew,0,2,6
royal,0,2,5
saul,0,2,4
riad,0,2,4
claude,0,2,6
darin,0,2,5
micah,0,2,5
jody,0,2,4
monzir,0,2,6
said,0,2,4
etem,0,2,4
emanuel,0,2,7
mohmmud,0,2,7
eduardo,0,2,7
nikko,0,2,5
rodelfo,0,2,7
olivier,0,2,7
keith,0,2,5
shuban,0,2,6
aquila,0,2,6
bryon,0,2,5
monty,0,2,5
blake,0,2,5
julius,0,2,6
toby,0,2,4
wade,0,2,4
wendell,0,2,7
afner,0,2,5
jim,0,2,3
magdaleno,0,2,9
jeremy,0,2,6
angel,0,2,5
rosauro,0,2,7
noel,0,2,4
chad,0,2,4
glen,0,2,4
gene,0,2,4
dess,0,2,4
larry,0,2,5
nikolus,0,2,7
tracey,0,2,6
raed,0,2,4
carl,0,2,4
levis,0,2,5
walter,0,2,6
windell,0,2,7
zachary,0,2,7
